n,Label,Shape,Material,Custom?,Shore 00 [/],Shore A [/],Shore D [/],"Gent, Shore A","Reuss, Shore A","Reuss, Shore D","Silicone, Shore 00","Silicone, Shore A","Silicone, Shore D",Modulus [Pa],Trials Recorded?,Radius [m],Notes
64,fake_washer_stack,Cylinder,Rubber,Y,70,13.5,,5.12E+05,7.24E+05,,5.64E+05,3.35E+05,,5.64E+05,5,,
283,molded_cylinder_thin,Cylinder,Rubber,Y,75,17.5,,6.37E+05,5.27E+05,,8.07E+05,4.16E+05,,8.07E+05,8,,
284,molded_cylinder_wide,Cylinder,Rubber,Y,75,17.5,,6.37E+05,5.27E+05,,8.07E+05,4.16E+05,,8.07E+05,8,,
36,fake_nut,Irregular,Rubber,Y,70,15,,5.57E+05,7.50E+05,,5.64E+05,3.63E+05,,5.64E+05,5,,
72,fake_rose,Irregular,Rubber,Y,71,17.5,,6.37E+05,7.95E+05,,6.06E+05,4.16E+05,,6.06E+05,5,,
184,fake_half_rose,Irregular,Rubber,Y,71,17.5,,6.37E+05,7.95E+05,,6.06E+05,4.16E+05,,6.06E+05,5,,
40,fake_bolt_gray,Irregular,Rubber,Y,72,16,,5.89E+05,7.68E+05,,6.51E+05,3.84E+05,,6.51E+05,6,,
41,fake_bolt_black,Irregular,Rubber,Y,72,16,,5.89E+05,7.68E+05,,6.51E+05,3.84E+05,,6.51E+05,5,,
76,fake_diamond,Irregular,Rubber,Y,72,18,,6.54E+05,8.05E+05,,6.51E+05,4.27E+05,,6.51E+05,5,,
43,fake_lego,Irregular,Rubber,Y,75,17.5,,6.37E+05,7.95E+05,,8.07E+05,4.16E+05,,8.07E+05,5,,
68,fake_leaf,Irregular,Rubber,Y,75,17.5,,6.37E+05,7.95E+05,,8.07E+05,4.16E+05,,8.07E+05,5,,
79,fake_bear,Irregular,Rubber,Y,75,17.5,,6.37E+05,7.95E+05,,8.07E+05,4.16E+05,,8.07E+05,7,,
70,fake_heart,Irregular,Rubber,Y,77,18,,6.54E+05,8.05E+05,,9.32E+05,4.27E+05,,9.32E+05,5,,
